country,countryiso3code,year,population,gdp_per_capita_usd,inflation_pct,pop_abs_change,pop_pct_change,gdp_pc_abs_change_usd,gdp_pc_pct_change,pop_cagr_25y,gdp_pc_cagr_25y,inflation_ma_5y,inflation_cum_5y
Portugal,PRT,1960,8857716,376.976430250874,3.046592778327,,,,,0.16089545559683227,3.962687844273338,3.046592778327,3.0465927783269953
Portugal,PRT,1961,8929316,400.223162057827,1.54899696989872,71600.0,0.8083347896907123,23.246731806952994,6.1666273913948855,0.16089545559683227,3.962687844273338,2.29779487411286,4.642781378047145
Portugal,PRT,1962,8993985,426.49433629823,2.66206417934763,64669.0,0.724232404811298,26.271174240403013,6.564131397424511,0.16089545559683227,3.962687844273338,2.419217975857783,7.4284393773851765
Portugal,PRT,1963,9030355,452.280291618213,2.02158272759789,36370.0,0.4043813726618328,25.78595531998303,6.046025263498911,0.16089545559683227,3.962687844273338,2.3198091637928098,9.60019415236637
Portugal,PRT,1964,9035365,490.207385856289,3.44489848222768,5010.0,0.05547954648517095,37.927094238075995,8.385749930065867,0.16089545559683227,3.962687844273338,2.544827027479784,13.375809577239828
Portugal,PRT,1965,8998595,544.71961987576,3.42492777745566,-36770.0,-0.4069564428221817,54.51223401947101,11.120239227781049,0.16089545559683227,3.962687844273338,2.620494027305516,13.792068239085097
Portugal,PRT,1966,8930990,601.289222261876,5.03926721858183,-67605.0,-0.7512839504389301,56.569602386116,10.385086257590359,0.16089545559683227,3.962687844273338,3.318548077042138,17.703136611613914
Portugal,PRT,1967,8874520,676.386669887118,5.52647600753092,-56470.0,-0.6322927245467791,75.09744762524201,12.489405238754681,0.16089545559683227,3.962687844273338,3.8914304426787956,20.987214906938178
Portugal,PRT,1968,8836650,751.947085624465,6.08136171148615,-37870.0,-0.4267273046880238,75.56041573734694,11.171186408797373,0.16089545559683227,3.962687844273338,4.703386239456448,25.801699639152464
Portugal,PRT,1969,8757705,832.130682107245,8.7827710555412,-78945.0,-0.8933815416475754,80.18359648277999,10.66346263130875,0.16089545559683227,3.962687844273338,5.770960754119152,32.29320818169723
Portugal,PRT,1970,8680431,934.082156096117,6.38014449001673,-77274.0,-0.8823544524507287,101.95147398887207,12.251858533889814,0.16089545559683227,3.962687844273338,6.362004096631366,36.07329397124796
Portugal,PRT,1971,8643756,1064.53771257341,11.9468983654056,-36675.0,-0.4225020623975895,130.45555647729304,13.966175847156336,0.16089545559683227,3.962687844273338,7.743530325996121,45.02179626544924
Portugal,PRT,1972,8630430,1302.2662677393,10.6633559759477,-13326.0,-0.1541690903815396,237.72855516588993,22.331623610703822,0.16089545559683227,3.962687844273338,8.770906319679478,52.08125270144966
Portugal,PRT,1973,8633100,1747.98904060266,12.9746085239333,2670.0,0.030937044851753193,445.72277286336,34.2267003227476,0.16089545559683227,3.962687844273338,10.149555682168906,61.963607089663796
Portugal,PRT,1974,8754365,2000.41824574682,25.0827778589527,121265.0,1.404651863177775,252.42920514416005,14.441120583749733,0.16089545559683227,3.962687844273338,13.409557042851205,86.23222859884262
Portugal,PRT,1975,9093470,2127.6375072593,15.2716857518483,339105.0,3.873553364521576,127.21926151247999,6.359633130869846,0.16089545559683227,3.962687844273338,15.18786529521752,101.79802382132289
Portugal,PRT,1976,9355810,2173.28393425975,21.1419048031955,262340.0,2.8849273159750943,45.646427000449876,2.145404320271127,0.16089545559683227,3.962687844273338,17.0268665827755,118.37315145115417
Portugal,PRT,1977,9455675,2267.37100319478,31.0167490988807,99865.0,1.0674115870245249,94.08706893502995,4.32925801602988,0.16089545559683227,3.962687844273338,21.0975452073621,158.53671381361454
Portugal,PRT,1978,9558250,2457.31321644599,21.0387723599382,102575.0,1.0847982825128888,189.94221325120998,8.37720042214427,0.16089545559683227,3.962687844273338,22.71037797456308,176.99114746959506
Portugal,PRT,1979,9661265,2755.6246177008,21.8992248062015,103015.0,1.0777600502184015,298.31140125481033,12.139738607936113,0.16089545559683227,3.962687844273338,22.07366736401284,169.94128794292024
Portugal,PRT,1980,9766312,3368.36666940279,15.8674803836094,105047.0,1.0873006795693918,612.74205170199,22.23604941565811,0.16089545559683227,3.962687844273338,22.19282629036506,171.33650975474745
Portugal,PRT,1981,9851362,3245.97521367748,19.0404107466915,85050.0,0.8708507366957052,-122.39145572531015,-3.6335550056671884,0.16089545559683227,3.962687844273338,21.77252747906426,166.62953355614385
Portugal,PRT,1982,9911771,3079.94956634271,21.6792837277095,60409.0,0.6132045497871275,-166.02564733476993,-5.114815622596014,0.16089545559683227,3.962687844273338,19.90503440483002,147.62704682345108
Portugal,PRT,1983,9957865,2735.49106580047,24.0027623802917,46094.0,0.46504302813290543,-344.45850054224,-11.183900681570824,0.16089545559683227,3.962687844273338,20.49783240890072,153.69092273068264
Portugal,PRT,1984,9996232,2522.74747620658,28.3846388897103,38367.0,0.3852934338836711,-212.7435895938902,-7.777162654765835,0.16089545559683227,3.962687844273338,21.794915225602477,167.18806092620144
Portugal,PRT,1985,10023613,2705.19300197317,19.4614100078696,27381.0,0.27391321049772266,182.44552576658998,7.232016977019473,0.16089545559683227,3.962687844273338,22.513701150454516,175.47558978444653
Portugal,PRT,1986,10032734,3861.9484333688,12.3313334897219,9121.0,0.09099513319199559,1156.7554313956302,42.76055093118649,0.16089545559683227,3.962687844273338,21.1718856990606,159.94987878697765
Portugal,PRT,1987,10030031,4803.86609546941,9.63483186245753,-2703.0,-0.02694180868345608,941.9176621006095,24.389700648565338,0.16089545559683227,3.962687844273338,18.762995326010206,134.2186802911499
Portugal,PRT,1988,10019610,5623.69699982123,10.1016321152266,-10421.0,-0.10389798396435168,819.8309043518202,17.066064874810174,0.16089545559683227,3.962687844273338,15.982769272997185,107.96197178933693
Portugal,PRT,1989,10005000,6056.38102771889,12.6863036456149,-14610.0,-0.14581405863102193,432.6840278976606,7.693942755298067,0.16089545559683227,3.962687844273338,12.843102224178105,82.53325399719785
Portugal,PRT,1990,9983218,7884.61798756332,13.6305705693074,-21782.0,-0.21771114442779016,1828.2369598444293,30.18695408160319,0.16089545559683227,3.962687844273338,11.676934336465665,73.62391585874929
Portugal,PRT,1991,9960235,8958.9853330247,11.8494841773675,-22983.0,-0.23021634907701705,1074.3673454613809,13.626117931851844,0.16089545559683227,3.962687844273338,11.580564473994787,72.87914980046621
Portugal,PRT,1992,9952494,10810.5665079626,9.55926033177508,-7741.0,-0.07771904980153899,1851.581174937899,20.667308920716533,0.16089545559683227,3.962687844273338,11.565450167858296,72.7599838223591
Portugal,PRT,1993,9964675,9534.6563637308,6.78377994665407,12181.0,0.12239143274037634,-1275.9101442317988,-11.802435545741453,0.16089545559683227,3.962687844273338,10.90187973414379,67.55395666403597
Portugal,PRT,1994,9991525,9977.31990905771,5.42044019241626,26850.0,0.2694518386199274,442.66354532691,4.6426795936849174,0.16089545559683227,3.962687844273338,9.448707043504063,56.750299690845154
Portugal,PRT,1995,10026176,11781.3618502221,4.22281614099486,34651.0,0.3468039163190717,1804.0419411643888,18.081428255363697,0.16089545559683227,3.962687844273338,7.567156157841555,43.77255682932877
Portugal,PRT,1996,10063945,12185.0914010629,3.06897732509789,37769.0,0.37670393976727556,403.7295508408006,3.426849594923431,0.16089545559683227,3.962687844273338,5.811054787387632,32.48599677325936
Portugal,PRT,1997,10108977,11575.5071124358,2.33686298314116,45032.0,0.4474587251818152,-609.5842886271002,-5.002705917937766,0.16089545559683227,3.962687844273338,4.366575317660848,23.75221645264873
Portugal,PRT,1998,10160196,12199.206385024,2.5727522590913,51219.0,0.5066684789172937,623.6992725881992,5.388094590846437,0.16089545559683227,3.962687844273338,3.5243697801482936,18.872036989628207
Portugal,PRT,1999,10217828,12475.2917701476,2.34009490312169,57632.0,0.5672331518014051,276.08538512360064,2.263142178351285,0.16089545559683227,3.962687844273338,2.90830072228938,15.398641142470758
